year,month,day,hour,lat,depth,lon
2017,10,24,8,-43.42059736696845,3368,55.3053064538062
2017,10,24,9,-43.41849254520709,3369,55.29311326216461
2017,10,24,9,-43.41721981855133,3370,55.27822596527551
2017,10,24,9,-43.41710590923886,3371,55.27818475762023
2017,10,24,9,-43.41248541176914,3372,55.27007808785884
2017,10,24,9,-43.4126014661836,3373,55.2702449569344
2017,10,24,10,-43.41248843300017,3374,55.270410459496155
2017,10,24,10,-43.41331476214816,3375,55.27040908742179
2017,10,24,10,-43.41286123785717,3376,55.27027360501171
2017,10,24,10,-43.40752109621301,3377,55.25823778930586
2017,10,24,10,-43.40757510591022,3378,55.258484187810794
2017,10,24,10,-43.40537395981573,3379,55.24180268758082
2017,10,24,10,-43.40551574835328,3380,55.24185029770684
2017,10,24,10,-43.40569792960926,3381,55.2419082112356
2017,10,24,10,-43.40547345766631,3382,55.241854624631216
2017,10,24,11,-43.40325438720209,3383,55.22587596992886
2017,10,24,11,-43.40345690163946,3384,55.22585575793665
2017,10,24,11,-43.403467771322134,3385,55.2253784222544
2017,10,24,11,-43.40349990208156,3386,55.22571737512434
2017,10,24,11,-43.40108536732864,3387,55.210986070390966
2017,10,24,11,-43.40092036526128,3388,55.21081427440414
2017,10,24,11,-43.40158476521661,3389,55.210353114263384
2017,10,24,11,-43.4020131018476,3390,55.20963834335897
2017,10,24,11,-43.4012080794679,3391,55.21063212181945
2017,10,24,11,-43.40096519709553,3392,55.21125510756078
2017,10,24,12,-43.3981704982448,3393,55.19568441600775
2017,10,24,12,-43.39814275820947,3394,55.19548557216314
2017,10,24,12,-43.398483956120046,3395,55.1949300182544
2017,10,24,12,-43.39820822116447,3396,55.19575717764507
2017,10,24,12,-43.39839650198575,3397,55.19551074772286
2017,10,24,12,-43.39827325251954,3398,55.19567380469561
2017,10,24,12,-43.395109661048366,3399,55.18303077701854
2017,10,24,12,-43.39511912998272,3400,55.18301570841713
2017,10,24,12,-43.395783590643575,3401,55.183731728546206
2017,10,24,13,-43.39527016891295,3402,55.1697727568717
2017,10,24,13,-43.39543341661456,3403,55.16963898724725
2017,10,24,13,-43.395576372071886,3404,55.16961898359054
2017,10,24,13,-43.39497501406814,3405,55.15652128759695
2017,10,24,13,-43.39499307497868,3406,55.15663445765164
2017,10,24,13,-43.395129773244676,3407,55.156573526272076
2017,10,24,13,-43.39556385438671,3408,55.15669460951411
2017,10,24,13,-43.392231204490926,3409,55.14100800789669
2017,10,24,13,-43.39210321012676,3410,55.14141054374389
2017,10,24,13,-43.392256749032335,3411,55.14114228784521
2017,10,24,14,-43.388867366743135,3412,55.12911767094314
2017,10,24,14,-43.38898855212138,3413,55.128975925255155
2017,10,24,14,-43.388955074272715,3414,55.12904581380637
2017,10,24,14,-43.39014623496168,3415,55.116922601377475
2017,10,24,14,-43.39024089176375,3416,55.11704381336507
2017,10,24,14,-43.390458872062496,3417,55.11708022678216
2017,10,24,14,-43.39039841515767,3418,55.117052442653815
2017,10,24,14,-43.3907975015693,3419,55.11678676095213
2017,10,24,15,-43.39040124196681,3420,55.10410110455011
2017,10,24,15,-43.390340705411184,3421,55.104293826689606
2017,10,24,15,-43.38714729314393,3422,55.09315478855626
2017,10,24,15,-43.38720503767119,3423,55.09328154976134
2017,10,24,15,-43.3873912880222,3424,55.09344655402901
2017,10,24,15,-43.3870249393318,3425,55.09253147806599
2017,10,24,15,-43.385472037379635,3426,55.08236947333293
2017,10,24,15,-43.38544801876605,3427,55.082262025769
2017,10,24,15,-43.3857161044639,3428,55.08267486584288
2017,10,24,16,-43.383951069130056,3429,55.07300624701292
2017,10,24,16,-43.38364962098953,3430,55.072792522199094
2017,10,24,16,-43.38404719342743,3431,55.07315208523322
2017,10,24,16,-43.38485772428877,3432,55.07421028296962
2017,10,24,16,-43.38095517170476,3433,55.06338614421976
2017,10,24,16,-43.38128030050056,3434,55.063432260684344
2017,10,24,16,-43.38147960850812,3435,55.06375353934698
2017,10,24,16,-43.38175256097652,3436,55.06435518204025
2017,10,24,16,-43.37836728075385,3437,55.05349521788713
2017,10,24,16,-43.37831493105123,3438,55.05345573061727
